filename,batch,day,true_conc_uM
batch1_day0.csv,1,0,192.45
batch1_day2.csv,1,2,155.43
batch1_day4.csv,1,4,111.77
batch1_day6.csv,1,6,86.75
batch1_day8.csv,1,8,64.99
batch1_day10.csv,1,10,48.50
batch1_day12.csv,1,12,36.20
batch1_day14.csv,1,14,27.10
batch2_day0.csv,2,0,179.72
batch2_day2.csv,2,2,136.67
batch2_day4.csv,2,4,96.15
batch2_day6.csv,2,6,68.19
batch2_day8.csv,2,8,46.85
batch2_day10.csv,2,10,33.66
batch2_day12.csv,2,12,23.94
batch2_day14.csv,2,14,18.66
batch3_day0.csv,3,0,200.00
batch3_day2.csv,3,2,166.32
batch3_day4.csv,3,4,138.31
batch3_day6.csv,3,6,115.01
batch3_day8.csv,3,8,95.64
batch3_day10.csv,3,10,79.53
batch3_day12.csv,3,12,66.14
batch3_day14.csv,3,14,55.00
batch4_day0.csv,4,0,160.00
batch4_day2.csv,4,2,114.09
batch4_day4.csv,4,4,81.36
batch4_day6.csv,4,6,58.01
batch4_day8.csv,4,8,41.37
batch4_day10.csv,4,10,29.50
batch4_day12.csv,4,12,21.04
batch4_day14.csv,4,14,15.00
batch5_day0.csv,5,0,175.00
batch5_day2.csv,5,2,130.13
batch5_day4.csv,5,4,96.77
batch5_day6.csv,5,6,71.95
batch5_day8.csv,5,8,53.51
batch5_day10.csv,5,10,39.79
batch5_day12.csv,5,12,29.59
batch5_day14.csv,5,14,22.00
