batch,day,true_conc_uM
1,0.0,192.45
1,2.0,155.43
1,4.0,111.77
1,6.0,86.75
1,8.0,64.99
1,10.0,48.5
1,12.0,36.2
2,0.0,179.72
2,2.0,136.67
2,4.0,96.15
2,6.0,68.19
2,8.0,46.85
2,10.0,33.66
2,12.0,23.94
3,0.0,200.0
3,2.0,166.32
3,4.0,138.31
3,6.0,115.01
3,8.0,95.64
3,10.0,79.53
3,12.0,66.14
4,0.0,160.0
4,2.0,114.09
4,4.0,81.36
4,6.0,58.01
4,8.0,41.37
4,10.0,29.5
4,12.0,21.04
5,0.0,175.0
5,2.0,130.13
5,4.0,96.77
5,6.0,71.95
5,8.0,53.51
5,10.0,39.79
5,12.0,29.59
1,2.17,
2,3.47,
3,11.65,
4,2.45,
5,10.93,
6,11.69,
7,10.5,
8,12.26,
9,6.89,
10,2.92,
1,11.45,
2,10.15,
3,2.8,
4,1.19,
5,1.13,
6,7.33,
7,6.12,
8,9.58,
9,7.05,
10,12.97,
1,1.81,
2,0.3,
3,7.02,
4,6.63,
5,2.22,
6,12.87,
7,7.17,
8,6.73,
9,11.95,
10,6.65,
1,3.71,
2,7.5,
3,1.99,
4,8.93,
5,1.63,
6,9.5,
7,1.48,
8,5.63,
9,13.82,
10,1.46,
1,0.19,
2,11.92,
3,11.25,
4,4.22,
5,7.15,
6,4.78,
7,13.35,
8,9.4,
9,7.34,
10,11.03,
1,13.79,
2,7.82,
3,6.65,
4,12.1,
5,10.94,
6,9.2,
7,8.4,
8,2.21,
9,12.16,
10,0.33,
1,8.09,
2,10.26,
3,7.69,
4,0.07,
5,9.67,
6,2.05,
7,6.78,
8,8.95,
9,9.04,
10,6.67,
1,7.74,
2,9.36,
3,11.37,
4,1.48,
5,8.34,
6,1.66,
7,4.02,
8,1.61,
9,9.11,
10,4.25,
1,13.77,
2,10.98,
3,1.07,
4,9.3,
5,8.54,
6,7.99,
7,12.64,
8,2.03,
9,0.55,
10,7.5,
1,5.1,
2,9.77,
3,3.97,
4,5.41,
5,5.13,
6,6.74,
7,9.86,
8,9.86,
9,10.76,
10,10.77,
1,9.64,
2,3.41,
3,5.91,
4,12.98,
