Preprocessing,Track,Algorithm,Accuracy,F1_Weighted,RMSE,R2
Raw_StandardScaler,Classification,1_LDA_Baseline,0.7804878048780488,0.7801999826741809,,
Raw_StandardScaler,Classification,2_SVM_RBF,0.7682926829268293,0.769482626355108,,
Raw_StandardScaler,Classification,3_RandomForest,0.7731707317073171,0.7715103905425307,,
Raw_StandardScaler,Classification,4_XGBoost,0.7341463414634146,0.7328441421875996,,
Raw_StandardScaler,Classification,5_1D_CNN,0.7317073170731707,0.7319947933359626,,
Raw_StandardScaler,Regression,1_PLS_Industry_Standard,,,1.7772404334530452,0.8016996928472999
Raw_StandardScaler,Regression,2_SVR_RBF,,,1.4925224872572644,0.8601466792556505
Raw_StandardScaler,Regression,3_RandomForest,,,1.544800682182665,0.8501778856754327
Raw_StandardScaler,Regression,4_XGBoost,,,1.6638397602690562,0.826198302790957
Advanced_SavGol_DCT_RFE,Classification,1_LDA_Baseline,0.5756097560975609,0.5617698174801926,,
Advanced_SavGol_DCT_RFE,Classification,2_SVM_RBF,0.573170731707317,0.573917716210459,,
Advanced_SavGol_DCT_RFE,Classification,3_RandomForest,0.4560975609756098,0.45459852961251407,,
Advanced_SavGol_DCT_RFE,Classification,4_XGBoost,0.5317073170731708,0.5212176033054063,,
Advanced_SavGol_DCT_RFE,Classification,5_1D_CNN,0.5780487804878048,0.5760079019207629,,
Advanced_SavGol_DCT_RFE,Regression,1_PLS_Industry_Standard,,,2.0845130263787928,0.7272025895736227
Advanced_SavGol_DCT_RFE,Regression,2_SVR_RBF,,,2.2168063654305414,0.6914777171444784
Advanced_SavGol_DCT_RFE,Regression,3_RandomForest,,,2.7778452027807634,0.5155520773000476
Advanced_SavGol_DCT_RFE,Regression,4_XGBoost,,,2.390549028029955,0.641221568609796
